采集日期,平台名称,成交额(万),综合利率,投资人(人),借款周期(月),借款人(人),满标速度(分钟),累计贷款金额(万),净资金流入(万)
2017-09-30,易港金融,595.86,10.54%,335,4.21,75,21.49,38467.05,393.48
2017-09-30,融金宝,595.66,12.23%,464,6.51,58,92.11,51666.95,429.88
2017-09-30,投复利,575.07,14.5%,681,15.80,127,12.34,43785.6,174.18
2017-09-30,金开贷,568.5,7.97%,182,11.64,10,1.18,67362.12,20.73
2017-09-30,麦麦提,558.76,10.69%,198,2.87,337,9.21,23710.64,465.27
2017-09-30,达人贷,558.14,13.54%,2249,20.03,891,16.37,31612.87,350.4
2017-09-30,爱理财,545.55,8.65%,170,5.21,10,416.39,15879.53,0
2017-09-30,新富金融,530,7.1%,51,2.62,4,179.71,8611.43,266.15
2017-09-30,天天财富,529,7.87%,4,2.79,8,109.75,4834.88,538.82
2017-09-30,石投金融,528.45,7.85%,316,4.27,50,250.89,79813.95,308.16
2017-09-30,玺鉴,524.22,9.49%,50,3.83,12,197.05,11677.24,476.78
2017-09-30,华人金融,507.71,9.16%,192,6.79,4,640.85,176479.94,-1730.58
2017-09-30,金桥梁,500.5,13.08%,434,4.52,39,114.71,38403.39,150.78
2017-09-30,钱途在线,500,10%,0,1.00,1,0,2449.21,499.02
2017-09-30,温州贷,500,8.7%,110,2.19,3,1098.53,33424.49,106.92
2017-09-30,禧龙来,481.3,10.6%,23,1.00,20,0.31,13620.7,-39.04
2017-09-30,果树财富,474.33,12.27%,535,9.90,74,250.48,37450.13,131.07
2017-09-30,爱本地,467.3,13.93%,123,0.25,266,0.85,609.87,233.04
2017-09-30,融租E投,465.3,8.54%,105,6.09,20,1239.96,50244.98,160.89
2017-09-30,花果金融,460,11.74%,118,12.91,22,273.74,54250.18,-250.1
2017-09-30,阿朋贷,457.67,9.23%,162,6.60,98,78.25,21666.07,216.61
2017-09-30,德众金融,454.96,7.67%,59,10.62,6,360.48,87018.25,352.25
2017-09-30,乐享宝,449.7,11.78%,276,12.58,263,0.01,48953.1,49.59
2017-09-30,玖融网,440.05,11.05%,201,6.89,46,0,153465.27,50.06
2017-09-30,互贷网,432.2,9.5%,131,3.96,5,397.79,60075.63,271.03
2017-09-30,旺财谷,431.72,6.79%,39,1.85,2,305.66,44633.37,-441.36
2017-09-30,\u6295呗,420,10.17%,59,8.57,1,637.91,31007.25,84.23
2017-09-30,智融会,413.34,11.05%,296,1.53,7,1314.15,12429.59,304.89
2017-09-30,三信贷,403.05,14.29%,202,4.95,37,8.62,47877.29,0
2017-09-30,中融宝,400,8.4%,141,6.00,4,3.45,45398,312
2017-09-30,聚金资本,395.69,13.2%,254,3.88,9,451.53,18312.58,152.98
2017-09-30,长运网,384,15.72%,164,3.26,26,213.30,8725.25,149.75
2017-09-30,汇诚金服,383.49,9.08%,123,1.15,38,217.68,14010.78,0
2017-09-30,华赢贷,380.38,11.88%,112,3.27,6,210.30,20307.8,0
2017-09-30,领投鸟,376.23,10.78%,0,2.78,13,376.91,28672.06,142.54
2017-09-30,农泰金融,363,8.21%,150,6.70,8,60.68,54522.62,-107.71
2017-09-30,普惠理财,358,8.41%,107,3.66,1,906.28,26907.59,53.33
2017-09-30,金筑财富,355.83,8.13%,66,1.79,3,648.26,22449.57,223.19
2017-09-30,果儿金融,350.98,9.91%,122,1.63,17,19.00,13595.25,174.38
2017-09-30,前海惠农,350,9.43%,87,5.43,8,1399.58,29687.2,132.19
2017-09-30,财小主,347,10.83%,75,4.09,31,103.48,7709.94,258.4
2017-09-30,小猪罐子,337,10.64%,202,6.43,17,403.99,30650.56,109.2
2017-09-30,银狐财富,335.8,9.2%,0,4.64,7,50.39,24499.11,47.05
2017-09-30,爱鸿森,335,6.78%,24,0.89,15,131.51,6413.07,336.68
2017-09-30,易金智慧,326.65,7.9%,125,3.48,10,15.80,14388.81,0
2017-09-30,龙贷,320.64,9.6%,185,4.08,4,207.63,29255.25,0
2017-09-30,沪商财富,319.2,14.13%,255,8.87,19,96.80,38028.01,155.06
2017-09-30,掌中财富,311.7,12.04%,107,8.09,43,3.65,27107.02,137.85
2017-09-30,新富创投,307,10.25%,187,6.52,40,214.17,9439.34,231.26
2017-09-30,易享贷,305,8.23%,43,1.61,8,802.64,4557.49,307.94
2017-09-30,善林宝,303.4,7.41%,155,4.90,781,27.76,15079.59,0
2017-09-30,善林财富,303.21,7.73%,430,5.78,2000,2.13,174463.5,-368.19
2017-09-30,固金所,300.3,10.91%,105,5.04,3,3790.37,17230.01,0
2017-09-30,普汇云通,300,13.3%,63,6.67,3,3643.31,40568.47,157.48
2017-09-30,工艺通,300,9%,28,7.00,3,627.67,101698.51,-680.76
2017-09-30,沃时贷,299.9,12.44%,302,5.53,30,130.57,54034.55,-47.46
2017-09-30,绿化贷,297.88,9.8%,307,5.37,5,284.50,51436.67,113.97
2017-09-30,金融社,293.81,10.22%,37,6.95,18,280.39,15294.94,62.8
2017-09-30,金瑞龙,290.19,9.09%,233,10.52,36,193.28,42325.67,56.1
2017-09-30,恒信易贷,281.22,11.92%,215,6.63,47,580.92,64756.96,-405.53
2017-09-30,恩科e贷,280,8.11%,52,6.04,14,425.27,17527.94,279.28
2017-09-30,道口金融网,278.93,11.17%,89,3.18,43,146.47,14842.38,93.08
2017-09-30,禾泰财富,277.28,11.4%,17,2.59,5,265.02,9081.68,0
2017-09-30,嘉石榴,276.18,8.33%,136,6.02,40,41.99,87146.07,0
2017-09-30,民民贷,273.9,13.87%,169,5.52,20,12.81,13802.93,61.95
2017-09-30,小鸡理财,268.12,9.17%,276,1.82,7,3567.49,33717.61,0
2017-09-30,汇贷天下,267,13.59%,48,4.88,3,453.20,11462.94,178.8
2017-09-30,网投网,263.63,12.14%,159,3.58,48,86.86,19023.33,153.97
2017-09-30,58车贷,261.8,11.2%,183,2.16,17,297.57,19354.94,69.75
2017-09-30,今金贷,260,14.3%,19,7.50,4,2015.86,29654.79,-90.04
2017-09-30,雪山贷,250,10.4%,130,6.80,3,1365.54,59799.91,-50.39
2017-09-30,欧亚金融,250,10.6%,55,2.60,3,7.00,9648.89,103.5
2017-09-30,民投金服,248.03,7.91%,186,5.44,84,8.58,8006.28,-81.28
2017-09-30,融资易,247,11.02%,91,3.27,4,395.16,12275.95,101.65
2017-09-30,杉易贷,245.99,9.38%,0,9.28,53,0,36153.29,87.05
2017-09-30,小赢理财,245.81,6.77%,0,6.22,357,0,1810259.44,-9981.2
2017-09-30,豫商贷,235.9,14.42%,153,5.73,7,189.11,26579.52,104.78
2017-09-30,立业贷,233.33,12.83%,102,13.94,27,626.07,35988.89,59.5
2017-09-30,念钱安,232.04,8.93%,138,2.51,13,553.51,28716.65,0
2017-09-30,鱼猫金服,230.6,9.96%,195,2.01,4,975.57,5884.53,137.28
2017-09-30,国泰惠民益贷,230.58,8.21%,198,1.52,4,390.80,32926.76,122.91
2017-09-30,蜂缘财富,230,10.65%,15,4.63,5,498.33,4777.29,230.13
